Type,"Country Code","Series Code","Description"
Country-Series,"Aruba (ABW)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Aruba (ABW)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Afghanistan (AFG)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Afghanistan (AFG)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Angola (AGO)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Angola (AGO)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Albania (ALB)","Population, total (SP.POP.TOTL)","Data sources : Institute of Statistics, Eurostat"
Country-Series,"Albania (ALB)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Andorra (AND)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Andorra (AND)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"United Arab Emirates (ARE)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"United Arab Emirates (ARE)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Argentina (ARG)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Argentina (ARG)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Armenia (ARM)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Armenia (ARM)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"American Samoa (ASM)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"American Samoa (ASM)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Antigua and Barbuda (ATG)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Antigua and Barbuda (ATG)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Australia (AUS)","Population, total (SP.POP.TOTL)","Data sources : Australian Bureau of Statistics"
Country-Series,"Australia (AUS)","Population growth (annual %) (SP.POP.GROW)","Data sources: Australian Bureau of Statistics"
Country-Series,"Austria (AUT)","Population growth (annual %) (SP.POP.GROW)","Data sources : Eurostat"
Country-Series,"Austria (AUT)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Azerbaijan (AZE)","Population, total (SP.POP.TOTL)","Data sources : Eurostat, State Statistical Committee, United Nations World Population Prospects"
Country-Series,"Azerbaijan (AZE)","Population growth (annual %) (SP.POP.GROW)","Data sources: Eurostat, State Statistical Committee, United Nations World Population Prospects"
Country-Series,"Burundi (BDI)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Burundi (BDI)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Belgium (BEL)","Population growth (annual %) (SP.POP.GROW)","Data sources : Eurostat"
Country-Series,"Belgium (BEL)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Benin (BEN)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Benin (BEN)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Burkina Faso (BFA)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Burkina Faso (BFA)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Bangladesh (BGD)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Bangladesh (BGD)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Bulgaria (BGR)","Population growth (annual %) (SP.POP.GROW)","Data sources : Eurostat"
Country-Series,"Bulgaria (BGR)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Bahrain (BHR)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Bahrain (BHR)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Bahamas, The (BHS)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Bahamas, The (BHS)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Bosnia and Herzegovina (BIH)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Bosnia and Herzegovina (BIH)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Belarus (BLR)","Population growth (annual %) (SP.POP.GROW)","Data sources: National Statistical Committee of the Republic of Belarus"
Country-Series,"Belarus (BLR)","Population, total (SP.POP.TOTL)","Data sources : National Statistical Committee of the Republic of Belarus"
Country-Series,"Belize (BLZ)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Belize (BLZ)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Bermuda (BMU)","Population growth (annual %) (SP.POP.GROW)","Data sources: Bermuda Government Department of Statistics"
Country-Series,"Bermuda (BMU)","Population, total (SP.POP.TOTL)","Data sources : Bermuda Government Department of Statistics"
Country-Series,"Bolivia (BOL)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Bolivia (BOL)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Brazil (BRA)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Brazil (BRA)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Barbados (BRB)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Barbados (BRB)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Brunei Darussalam (BRN)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Brunei Darussalam (BRN)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Bhutan (BTN)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Bhutan (BTN)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Botswana (BWA)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Botswana (BWA)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Central African Republic (CAF)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Central African Republic (CAF)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Canada (CAN)","Population growth (annual %) (SP.POP.GROW)","Data sources: Statistics Canada"
Country-Series,"Canada (CAN)","Population, total (SP.POP.TOTL)","Data sources : Statistics Canada"
Country-Series,"Switzerland (CHE)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Switzerland (CHE)","Population growth (annual %) (SP.POP.GROW)","Data sources : Eurostat"
Country-Series,"Channel Islands (CHI)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Channel Islands (CHI)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Chile (CHL)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Chile (CHL)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"China (CHN)","Population growth (annual %) (SP.POP.GROW)","Data sources: National Bureau of Statistics"
Country-Series,"China (CHN)","Population, total (SP.POP.TOTL)","Data sources : National Bureau of Statistics"
Country-Series,"Côte d'Ivoire (CIV)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Côte d'Ivoire (CIV)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Cameroon (CMR)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Cameroon (CMR)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Congo, Dem. Rep. (COD)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Congo, Dem. Rep. (COD)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Congo, Rep. (COG)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Congo, Rep. (COG)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Colombia (COL)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Colombia (COL)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Comoros (COM)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Comoros (COM)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Cabo Verde (CPV)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Cabo Verde (CPV)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Costa Rica (CRI)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Costa Rica (CRI)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Cuba (CUB)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Cuba (CUB)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Curaçao (CUW)","Population growth (annual %) (SP.POP.GROW)","Data sources: Central bureau of Statistics Netherlands Antilles"
Country-Series,"Curaçao (CUW)","Population, total (SP.POP.TOTL)","Data sources : Central bureau of Statistics"
Country-Series,"Cayman Islands (CYM)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Cayman Islands (CYM)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Cyprus (CYP)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Cyprus (CYP)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Czech Republic (CZE)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Czech Republic (CZE)","Population growth (annual %) (SP.POP.GROW)","Data sources : Eurostat"
Country-Series,"Germany (DEU)","Population growth (annual %) (SP.POP.GROW)","Data sources : Eurostat"
Country-Series,"Germany (DEU)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Djibouti (DJI)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Djibouti (DJI)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Dominica (DMA)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Dominica (DMA)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Denmark (DNK)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Denmark (DNK)","Population growth (annual %) (SP.POP.GROW)","Data sources : Eurostat"
Country-Series,"Dominican Republic (DOM)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Dominican Republic (DOM)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Algeria (DZA)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Algeria (DZA)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Ecuador (ECU)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Ecuador (ECU)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Egypt, Arab Rep. (EGY)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Egypt, Arab Rep. (EGY)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Eritrea (ERI)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Eritrea (ERI)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Spain (ESP)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Spain (ESP)","Population growth (annual %) (SP.POP.GROW)","Data sources : Eurostat"
Country-Series,"Estonia (EST)","Population growth (annual %) (SP.POP.GROW)","Data sources : Eurostat"
Country-Series,"Estonia (EST)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Ethiopia (ETH)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Ethiopia (ETH)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Finland (FIN)","Population growth (annual %) (SP.POP.GROW)","Data sources : Eurostat"
Country-Series,"Finland (FIN)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Fiji (FJI)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Fiji (FJI)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"France (FRA)","Population, total (SP.POP.TOTL)","Data sources : Eurostat, United Nations World Population Prospects. Including the French overseas departments of French Guiana, Guadeloupe, Martinique, Mayotte, and Réunion."
Country-Series,"France (FRA)","Population growth (annual %) (SP.POP.GROW)","Data sources: Eurostat, United Nations World Population Prospects. Including the French overseas departments of French Guiana, Guadeloupe, Martinique, Mayotte, and Réunion."
Country-Series,"Faroe Islands (FRO)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Faroe Islands (FRO)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Micronesia, Fed. Sts. (FSM)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Micronesia, Fed. Sts. (FSM)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Gabon (GAB)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Gabon (GAB)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"United Kingdom (GBR)","Population growth (annual %) (SP.POP.GROW)","Data sources: Eurostat"
Country-Series,"United Kingdom (GBR)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Georgia (GEO)","Population, total (SP.POP.TOTL)","Data sources : GeoStats. GeoStats. Adjusted to mid-year population using geometric mean for the years where mid-year population figures are not available. Excluding Abkhazia and South Ossetia."
Country-Series,"Georgia (GEO)","Population growth (annual %) (SP.POP.GROW)","Data sources: GeoStats. GeoStats. Adjusted to mid-year population using geometric mean for the years where mid-year population figures are not available. Excluding Abkhazia and South Ossetia."
Country-Series,"Ghana (GHA)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Ghana (GHA)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Gibraltar (GIB)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Gibraltar (GIB)","Population growth (annual %) (SP.POP.GROW)","Data sources : United Nations World Population Prospects"
Country-Series,"Guinea (GIN)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Guinea (GIN)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Gambia, The (GMB)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Gambia, The (GMB)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Guinea-Bissau (GNB)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Guinea-Bissau (GNB)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Equatorial Guinea (GNQ)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Equatorial Guinea (GNQ)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Greece (GRC)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Greece (GRC)","Population growth (annual %) (SP.POP.GROW)","Data sources : Eurostat"
Country-Series,"Grenada (GRD)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Grenada (GRD)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Greenland (GRL)","Population growth (annual %) (SP.POP.GROW)","Data sources: Statistics Greenland"
Country-Series,"Greenland (GRL)","Population, total (SP.POP.TOTL)","Data sources : Statistics Greenland"
Country-Series,"Guatemala (GTM)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Guatemala (GTM)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Guam (GUM)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Guam (GUM)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Guyana (GUY)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Guyana (GUY)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Hong Kong SAR, China (HKG)","Population, total (SP.POP.TOTL)","Data sources : Census and Statistics Department"
Country-Series,"Hong Kong SAR, China (HKG)","Population growth (annual %) (SP.POP.GROW)","Data sources: Census and Statistics Department"
Country-Series,"Honduras (HND)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Honduras (HND)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Croatia (HRV)","Population, total (SP.POP.TOTL)","Data sources : Croatian Bureau of Statistics, Council of Europe"
Country-Series,"Croatia (HRV)","Population growth (annual %) (SP.POP.GROW)","Data sources: Croatian Bureau of Statistics, Council of Europe"
Country-Series,"Haiti (HTI)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Haiti (HTI)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Hungary (HUN)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Hungary (HUN)","Population growth (annual %) (SP.POP.GROW)","Data sources : Eurostat"
Country-Series,"Indonesia (IDN)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Indonesia (IDN)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Isle of Man (IMN)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Isle of Man (IMN)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"India (IND)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"India (IND)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Ireland (IRL)","Population growth (annual %) (SP.POP.GROW)","Data sources : Eurostat"
Country-Series,"Ireland (IRL)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Iran, Islamic Rep. (IRN)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Iran, Islamic Rep. (IRN)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Iraq (IRQ)","Population growth (annual %) (SP.POP.GROW)","Data sources : United Nations World Population Prospects"
Country-Series,"Iraq (IRQ)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Iceland (ISL)","Population growth (annual %) (SP.POP.GROW)","Data sources : Eurostat"
Country-Series,"Iceland (ISL)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Israel (ISR)","Population, total (SP.POP.TOTL)","Data sources : Central Bureau of Statistics"
Country-Series,"Israel (ISR)","Population growth (annual %) (SP.POP.GROW)","Data sources: Central Bureau of Statistics"
Country-Series,"Italy (ITA)","Population growth (annual %) (SP.POP.GROW)","Data sources : Eurostat"
Country-Series,"Italy (ITA)","Population, total (SP.POP.TOTL)","Data sources : Eurostat"
Country-Series,"Jamaica (JAM)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Jamaica (JAM)","Population growth (annual %) (SP.POP.GROW)","Data sources : United Nations World Population Prospects"
Country-Series,"Jordan (JOR)","Population growth (annual %) (SP.POP.GROW)","Data sources : United Nations World Population Prospects"
Country-Series,"Jordan (JOR)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Japan (JPN)","Population, total (SP.POP.TOTL)","Data sources : Ministry of Internal Affairs and Communications, Statistics Bureau; United Nations Population and Vital Statistics Report"
Country-Series,"Japan (JPN)","Population growth (annual %) (SP.POP.GROW)","Data sources: Ministry of Internal Affairs and Communications, Statistics Bureau; United Nations Population and Vital Statistics Report"
Country-Series,"Kazakhstan (KAZ)","Population growth (annual %) (SP.POP.GROW)","Data sources: Statistical Agency of Kazakhstan, 1979 Census, 1989 Census, United Nations World Population Prospects"
Country-Series,"Kazakhstan (KAZ)","Population, total (SP.POP.TOTL)","Data sources : Statistical Agency of Kazakhstan, 1979 Census, 1989 Census, United Nations World Population Prospects"
Country-Series,"Kenya (KEN)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Kenya (KEN)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Kyrgyz Republic (KGZ)","Population, total (SP.POP.TOTL)","Data sources : National Statistical Committee, United Nations World Population Prospects"
Country-Series,"Kyrgyz Republic (KGZ)","Population growth (annual %) (SP.POP.GROW)","Data sources: National Statistical Committee, United Nations World Population Prospects"
Country-Series,"Cambodia (KHM)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Cambodia (KHM)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Kiribati (KIR)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Kiribati (KIR)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"St. Kitts and Nevis (KNA)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"St. Kitts and Nevis (KNA)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Korea, Rep. (KOR)","Population growth (annual %) (SP.POP.GROW)","Data sources: Korean Statistical Information Service"
Country-Series,"Korea, Rep. (KOR)","Population, total (SP.POP.TOTL)","Data sources : Korean Statistical Information Service"
Country-Series,"Kuwait (KWT)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Kuwait (KWT)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Lao PDR (LAO)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Lao PDR (LAO)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Lebanon (LBN)","Population growth (annual %) (SP.POP.GROW)","Data sources : United Nations World Population Prospects"
Country-Series,"Lebanon (LBN)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Liberia (LBR)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"Liberia (LBR)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Libya (LBY)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
Country-Series,"Libya (LBY)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"St. Lucia (LCA)","Population, total (SP.POP.TOTL)","Data sources : United Nations World Population Prospects"
Country-Series,"St. Lucia (LCA)","Population growth (annual %) (SP.POP.GROW)","Data sources: United Nations World Population Prospects"
